NAMA_INSTANSI
BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MAN
BADAN KESATUAN BANGSA DAN POLITIK
BADAN KEUANGAN DAN ASET DAERAH
BADAN PENANGGULANGAN BENCANA DAERAH
BADAN PENDAPATAN DAERAH
BADAN PERENCANAAN PENELITIAN DAN PENGEMBANGAN
BAGIAN HUKUM
BAGIAN HUMAS
BAGIAN KESRA
BAGIAN ORGANISASI DAN TATA LAKSANA
BAGIAN PEMBANGUNAN
BAGIAN PEMERINTAHAN
BAGIAN PENGADAAN BARANG DAN JASA
BAGIAN PEREKONOMIAN
BAGIAN UMUM DAN KEUANGAN
DINAS KEBUDAYAAN DAN PARIWISATA
DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL
DINAS KESEHATAN                                   
DINAS KETAHANAN PANGAN
DINAS KOMUNIKASI DAN INFORMATIKA STATISTIK DAN PE
DINAS KOPERASI UKM PERINDUSTRIAN DAN PERDAGANGAN
DINAS LINGKUNGAN HIDUP
DINAS PEKERJAAN UMUM DAN TATA RUANG
DINAS PEMBERDAYAAN MASYARAKAT DAN DESA
DINAS PEMBERDAYAAN PEREMPUAN PERLINDUNGAN ANAK P
DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU P
DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN
DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA             
DINAS PERHUBUNGAN
DINAS PERIKANAN
DINAS PERPUSTAKAAN DAN ARSIP
DINAS PERTANIAN
DINAS PERUMAHAN KAWASAN PEMUKIMAN DAN PERTANAHAN
DINAS SOSIAL
DINAS TENAGA KERJA DAN TRANSMIGRASI
INSPEKTORAT DAERAH
KANTOR KECAMATAN BABULU
KANTOR KECAMATAN PENAJAM
KANTOR KECAMATAN SEPAKU
KANTOR KECAMATAN WARU
KANTOR KELURAHAN BULU MINUNG
KANTOR KELURAHAN GERSIK
KANTOR KELURAHAN GUNUNG SETELENG
KANTOR KELURAHAN JENEBORA
KANTOR KELURAHAN KAMPUNG BARU
KANTOR KELURAHAN LAWE-LAWE
KANTOR KELURAHAN MARIDAN
KANTOR KELURAHAN MENTAWIR
KANTOR KELURAHAN NENANG
KANTOR KELURAHAN NIPAH-NIPAH
KANTOR KELURAHAN PANTAI LANGO
KANTOR KELURAHAN PEJALA
KANTOR KELURAHAN PEMALUAN
KANTOR KELURAHAN PENAJAM
KANTOR KELURAHAN PETUNG
KANTOR KELURAHAN RIKO
KANTOR KELURAHAN SALO LOANG
KANTOR KELURAHAN SEPAKU
KANTOR KELURAHAN SEPAN
KANTOR KELURAHAN SESUMPU
